author_id,first_name,last_name,date_of_birth,phone
0,Paul,Riley,1985-03-16,001-876-229-1341x049
1,Cheryl,Griffith,1987-05-16,+1-611-806-0536
2,Donna,Santiago,1966-04-27,(346)986-2323
3,Meghan,Smith,1997-03-23,639-958-1534x4731
4,Wendy,Gomez,2001-12-13,+1-236-231-9954x75862
5,James,Thompson,2002-08-25,616.713.1633x62865
6,Jon,Kennedy,1998-03-22,739.820.6037x991
7,Travis,Murphy,1981-03-18,321-407-5090
8,Raymond,Nguyen,2002-06-27,8944973288
9,Devin,Martinez,1973-04-05,534-641-9008x9451
10,Jason,Watson,1966-08-06,6906521949
11,Denise,Jenkins,1988-05-13,395-439-4201x087
12,Christopher,Davis,1954-10-26,001-692-215-7305x8608
13,Michael,Williams,1986-03-15,889-811-6570
14,Sally,Mcdaniel,1964-09-13,+1-976-518-0539x590
15,Jeffrey,Norris,1993-12-10,743-416-2968x4338
16,Ronald,Kerr,1986-09-10,+1-851-529-4256x929
17,Edward,Sanchez,1954-04-30,796-808-6651x377
18,Kenneth,Rodriguez,2003-09-11,328-833-9769
19,Steven,Green,1998-02-21,(222)708-4152x962
20,Andrew,Kent,2002-10-04,627.618.7724x880
21,Erika,Cuevas,1965-09-30,(743)608-7918x413
22,Richard,Gallagher,2003-07-12,269-462-4302x60304
23,Renee,James,1996-10-30,001-461-407-4677x204
24,Briana,Lloyd,2001-01-21,+1-269-350-2433x58584
25,Margaret,Parker,1986-12-19,+1-486-731-8010x3070
26,Christopher,Clark,1979-09-14,(284)523-2099
27,Anthony,Jensen,1998-11-08,(531)916-3567x36309
28,Katrina,Henderson,1994-10-26,001-977-907-4045x7012
29,Mark,Morris,1956-11-04,+1-535-676-0980
30,Melinda,Smith,1991-02-12,(235)453-6005x60987
31,Kevin,Zuniga,1996-02-29,001-252-557-9124x0568
32,Shawn,Fitzpatrick,1961-11-24,+1-972-479-4444x255
33,Veronica,Baker,1983-03-07,(755)632-8221
34,Sarah,Owens,1997-12-12,762-435-9304x826
35,Kevin,Owens,1996-01-02,548-578-8183x5395
36,Michael,Peterson,1971-07-31,9928204303
37,Evan,Douglas,1967-08-10,(742)250-8244x8116
38,Timothy,Shannon,1962-05-30,456.332.0302x419
39,Melissa,Stevenson,1964-08-07,001-702-316-1643x965
40,Paul,Smith,2000-01-08,865.642.0659
41,Lisa,Evans,1975-12-26,792-905-0244x3123
42,Randy,Kelley,1991-04-29,346.516.7140x160
43,Tim,Stewart,1974-04-11,3867158437
44,Gabriela,Chase,1961-09-15,001-840-609-9864
45,John,Good,1971-04-17,(711)814-4567x425
46,James,Powell,1982-06-30,222.698.9660x7017
47,Taylor,Gallagher,1970-01-18,406-238-7659
48,Gerald,Nichols,1968-01-16,+1-932-807-1205x19463
49,Samantha,Salazar,1956-11-24,7713013289
50,Jessica,Banks,2000-07-11,539-332-3379x5975
51,Sandra,White,1986-10-13,206-217-0578x7375
52,Dennis,Estrada,1992-08-14,(877)711-6350x45944
53,Wayne,Gutierrez,1979-12-29,+1-618-294-3520x3194
54,Raymond,Mullins,1967-11-30,001-774-328-2289
55,Laura,Dominguez,1988-09-01,(463)430-1573
56,Lisa,House,1974-04-27,890.502.3969x467
